影片名字,封面图片,电影地址,演员以及类型,影片宣传语,热度,豆瓣评分
拯救大兵瑞恩,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1374546770.jpg,https://movie.douban.com/subject/1294639/,导演: 李濬益 Jun-ik Lee   主演: 薛景求 Kyung-gu Sol / 严志媛 Ji-won Uhm ...,史诗大片的典范。,331804人评价,8.8
幽灵公主,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2220184425.jpg,https://movie.douban.com/subject/1297630/,导演: 泷田洋二郎 Yôjirô Takita   主演: 本木雅弘 Masahiro Motoki / ...,深入内心的恐怖，出人意料的结局。,269579人评价,8.8
饮食男女,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p449897379.jpg,https://movie.douban.com/subject/1292220/,导演: 朗·霍华德 Ron Howard   主演: 罗素·克劳 Russell Crowe / 艾德·哈...,暗恋的极致。,437107人评价,8.8
阳光灿烂的日子,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2178872593.jpg,https://movie.douban.com/subject/11525673/,1987 / 英国 意大利 中国大陆 法国 美国 / 剧情 传记 历史,小清新的故事里注入了大历史的情怀。,380601人评价,8.8
血钻,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2263822658.jpg,https://movie.douban.com/subject/25954475/,导演: 萨姆·门德斯 Sam Mendes   主演: 凯文·史派西 Kevin Spacey / 安妮特...,新闻人的理性求真。,142641人评价,8.8
消失的爱人,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p456692072.jpg,https://movie.douban.com/subject/1297052/,,少女情怀总是诗。,198997人评价,8.8
无人知晓,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p652417775.jpg,https://movie.douban.com/subject/1306861/,导演: 尼克·卡索维茨 Nick Cassavetes   主演: 瑞恩·高斯林 Ryan Gosling /...,爱并不需要智商 。,118898人评价,8.8
无耻混蛋,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2074715729.jpg,https://movie.douban.com/subject/10808442/,,所谓爱情，就是话唠一路，都不会心生腻烦，彼此嫌弃。,131173人评价,8.8
天使爱美丽,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p480383375.jpg,https://movie.douban.com/subject/1780330/,1994 / 台湾 美国 / 剧情 家庭,孪生蝙蝠侠大战克隆金刚狼。,402042人评价,8.8
唐伯虎点秋香,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2169664351.jpg,https://movie.douban.com/subject/1294240/,,任何信念的力量，都无法改变命运。,150083人评价,8.8
摔跤吧！爸爸,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1465235231.jpg,https://movie.douban.com/subject/1309046/,1994 / 中国大陆 香港 / 剧情 历史 家庭,一张面具背后的理想与革命。,502836人评价,8.8
入殓师,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p465939041.jpg,https://movie.douban.com/subject/1292679/,导演: 埃里克·布雷斯 Eric Bress / J·麦基·格鲁伯 J. Mackye Gruber   主...,爱情纠缠，男女一致。,289965人评价,8.8
